pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
326,hidd,_hidd,"pctxsw(voluntary=140475495351032, involuntary=0)","pmem(rss=1576960, vms=34465918976, pfaults=1095, pageins=2)",0.0,0.018358230590820312,0,1681222250.989854,0.016615446,0.021515976,0.0,0.0
328,distnoted,_windowserver,"pctxsw(voluntary=140475495351245, involuntary=0)","pmem(rss=1105920, vms=34437611520, pfaults=1568, pageins=4)",0.0,0.012874603271484375,0,1681222251.006207,0.04160146,0.02865406,0.0,0.0
329,secinitd,root,"pctxsw(voluntary=140475495350505, involuntary=0)","pmem(rss=2777088, vms=34497888256, pfaults=2279, pageins=3)",0.0,0.032329559326171875,0,1681222251.024103,0.042512424,0.019660916,0.0,0.0
331,wifianalyticsd,root,"pctxsw(voluntary=140475495351662, involuntary=0)","pmem(rss=6922240, vms=34497744896, pfaults=3754, pageins=38)",0.0,0.08058547973632812,0,1681222251.336554,0.07574356,0.048122896,0.0,0.0
333,locationd,_locationd,"pctxsw(voluntary=140475495425493, involuntary=0)","pmem(rss=14716928, vms=34520936448, pfaults=17516, pageins=1343)",0.0,0.1713275909423828,0,1681222253.075372,5.131853312,2.306787072,0.0,0.0
336,searchpartyd,root,"pctxsw(voluntary=140475495618677, involuntary=0)","pmem(rss=16506880, vms=34526388224, pfaults=35594, pageins=898)",0.0,0.19216537475585938,0,1681222253.196843,12.031368192,4.987767808,0.0,0.0
341,ExploreSearchResultsDaemon,root,"pctxsw(voluntary=140475495367152, involuntary=0)","pmem(rss=7897088, vms=35019464704, pfaults=390372, pageins=126)",0.0,0.0919342041015625,0,1681222253.781351,1.285294592,2.269599232,0.0,0.0
343,mysqld,_mysql,"pctxsw(voluntary=140475495457611, involuntary=0)","pmem(rss=13766656, vms=35562643456, pfaults=90663, pageins=3609)",0.0,0.1602649688720703,0,1681222253.784679,1.343830144,1.49016512,0.0,0.0
348,taskgated,root,"pctxsw(voluntary=140475495351271, involuntary=0)","pmem(rss=2297856, vms=34432663552, pfaults=15042, pageins=2)",0.0,0.026750564575195312,0,1681222253.80489,0.191391216,0.1258434,0.0,0.0
352,colorsync.displayservices,root,"pctxsw(voluntary=140475495350554, involuntary=0)","pmem(rss=2207744, vms=34465955840, pfaults=1340, pageins=3)",0.0,0.025701522827148438,0,1681222253.988954,0.020539576,0.018524896,0.0,0.0
